         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.000    0.000 policy_loader.py:430(get_encryption_key)
        1    0.000    0.000    0.000    0.000 __init__.py:1313(__init__)
      113    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:100(push)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.000    0.000 {built-in method _overlapped.BindLocal}
       51    0.000    0.000    0.000    0.000 utils.py:204(_check_deprecated_args)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
       47    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 proactor_events.py:792(_loop_self_reading)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
      215    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:347(__new__)
        1    0.000    0.000    0.000    0.000 proactor_events.py:185(__init__)
      2/1    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
      650    0.000    0.000    0.000    0.000 base_events.py:2017(get_debug)
        1    0.000    0.000    0.000    0.000 thread.py:165(submit)
       50    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        2    0.000    0.000    0.000    0.000 windows_events.py:482(recv)
        1    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
        2    0.000    0.000    0.000    0.000 __init__.py:415(<genexpr>)
       55    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       53    0.000    0.000    0.000    0.000 connection.py:832(_host_error)
        8    0.000    0.000    0.000    0.000 __init__.py:728(search)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
        6    0.000    0.000    0.000    0.000 message.py:498(get)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       53    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
       50    0.000    0.000    0.000    0.000 connection.py:325(<lambda>)
        1    0.000    0.000    0.000    0.000 proactor_events.py:334(__init__)
      100    0.000    0.000    0.000    0.000 locks.py:92(acquire)
      107    0.000    0.000    0.000    0.000 {method 'result' of '_asyncio.Future' objects}
      326    0.000    0.000    0.000    0.000 base_events.py:543(_check_closed)
      2/1    0.000    0.000    0.000    0.000 copy.py:217(_deepcopy_dict)
       54    0.000    0.000    0.000    0.000 base.py:501(_clear)
        1    0.000    0.000    0.000    0.000 _adapters.py:46(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1548(find_distributions)
      157    0.000    0.000    0.000    0.000 {method 'cancelling' of '_asyncio.Task' objects}
